bid;bname;blang;auth_id;auth_name;sid;sub;cat
41375;Mohawks: A Novel. Volume 2 of 3;en;702;Braddon| M. E.;702;Literary;
41376;Mohawks: A Novel. Volume 3 of 3;en;703;Braddon| M. E.;703;Literary;
41434;The Launch Boys' Cruise in the Deerfoot;en;107;Ellis, Edward Sylvester;85;Detective and mystery ;LCSH
41453;The Mysterious Mr. Miller;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41454;The Lost Million;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41456;Guilty Bonds;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41458;The Gay Triangle: The Romance of the First Air Adventurers;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41459;The Broken Thread;en;704;Queux| William Le;704;Detective and Mystery;
41461;The Bond of Black;en;754;Le Queux, William;85;Detective and mystery ;LCSH
41483;The Yazoo Mystery: A Novel;en;705;Craddock| Irving;705;Literary;
41490;The Decadent: Being the Gospel of Inaction - Wherein Are Set Forth in Romance Form Certain Reflections Touching the Curious Characteristics of These Ultimate Years- and the Divers Causes Thereof;en;706;Cram| Ralph Adams;706;Literary;
41525;The House Opposite: A Mystery;en;707;Kent| Elizabeth;707;Detective and Mystery;
41542;Rose Clark;en;708;Fern| Fanny;708;Literary;
41564;Mabel: A Novel. Vol. 1 (of 3);en;709;Newby| Mrs. C. J.;709;Literary;
41619;The Haunting of Low Fennel;en;514;Rohmer, Sax;85;Detective and mystery ;LCSH
41660;A Fortnight of Folly;en;710;Conway| Hugh| Thompson| Maurice;710;Literary;
41667;The Emerald City of Oz;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
41672;A Changed Heart: A Novel;en;711;Fleming| May Agnes;711;Literary;
41721;The Crimson Flash;en;598;Snell, Roy J. (Roy Judson);85;Detective and mystery ;LCSH
41764;Albrecht;en;712;Bates| Arlo;712;Literary;
41790;Quintus Oakes: A Detective Story;en;713;Jackson| Charles Ross;713;Detective and Mystery;
41794;The Last Miracle;en;714;Shiel| M. P.;714;Literary;
41803;Joan of the Sword Hand;en;17026;Richards, Frank;4908;Romance fiction;LCSH
41817;John Marvel- Assistant;en;715;Page| Thomas Nelson;715;Literary;
41827;Dick Merriwell Abroad; Or, The Ban of the Terrible Ten;en;4428;Standish, Burt L.;85;Detective and mystery ;LCSH
41837;The Secret Mark An Adventure Story for Girls;en;17038;Price, Garrett;85;Detective and mystery ;LCSH
41844;The Golden Bough;en;716;Gibbs| George;716;Literary;
41859;The Terms of Surrender;en;717;Tracy| Louis;717;Literary;
41863;Ragna;en;718;Costantini| Anna Miller;718;Literary;
41866;Dick Merriwell's Trap; Or, The Chap Who Bungled;en;4428;Standish, Burt L.;85;Detective and mystery ;LCSH
41879;Dick Merriwell's Pranks; Or, Lively Times in the Orient;en;4428;Standish, Burt L.;85;Detective and mystery ;LCSH
41932;A Fair Mystery: The Story of a Coquette;en;719;Brame| Charlotte M.;719;Literary;
41963;The Debatable Land: A Novel;en;720;Colton| Arthur;720;Literary;
